,ts_code,symbol,name,industry
1448,003033.SZ,3033,征和工业,机械基件
1449,003816.SZ,3816,中国广核,新型电力
1450,300001.SZ,300001,特锐德,电气设备
1451,300002.SZ,300002,神州泰岳,软件服务
1452,300003.SZ,300003,乐普医疗,医疗保健
1453,300004.SZ,300004,南风股份,电气设备
1454,300005.SZ,300005,探路者,服饰
1455,300006.SZ,300006,莱美药业,化学制药
1456,300007.SZ,300007,汉威科技,电器仪表
1457,300008.SZ,300008,天海防务,船舶
1458,300009.SZ,300009,安科生物,生物制药
1459,300010.SZ,300010,豆神教育,软件服务
1460,300011.SZ,300011,鼎汉技术,运输设备
1461,300012.SZ,300012,华测检测,电器仪表
1462,300013.SZ,300013,新宁物流,仓储物流
1463,300014.SZ,300014,亿纬锂能,电气设备
1464,300015.SZ,300015,爱尔眼科,医疗保健
1465,300016.SZ,300016,北陆药业,中成药
1466,300017.SZ,300017,网宿科技,电信运营
1467,300018.SZ,300018,中元股份,电气设备
1468,300019.SZ,300019,硅宝科技,化工原料
1469,300020.SZ,300020,银江股份,软件服务
1470,300021.SZ,300021,大禹节水,农业综合
1471,300022.SZ,300022,吉峰科技,农用机械
1472,300023.SZ,300023,宝德股份,专用机械
1473,300024.SZ,300024,机器人,专用机械
1474,300025.SZ,300025,华星创业,通信设备
1475,300026.SZ,300026,红日药业,中成药
1476,300027.SZ,300027,华谊兄弟,影视音像
1477,300029.SZ,300029,ST天龙,专用机械
1478,300030.SZ,300030,阳普医疗,医疗保健
1479,300031.SZ,300031,宝通科技,互联网
1480,300032.SZ,300032,金龙机电,元器件
1481,300033.SZ,300033,同花顺,软件服务
1482,300034.SZ,300034,钢研高纳,小金属
1483,300035.SZ,300035,中科电气,电气设备
1484,300036.SZ,300036,超图软件,软件服务
1485,300037.SZ,300037,新宙邦,化工原料
1486,300038.SZ,300038,数知科技,互联网
1487,300039.SZ,300039,上海凯宝,中成药
1488,300040.SZ,300040,九洲集团,电气设备
1489,300041.SZ,300041,回天新材,化工原料
1490,300042.SZ,300042,朗科科技,IT设备
1491,300043.SZ,300043,星辉娱乐,文教休闲
1492,300044.SZ,300044,赛为智能,软件服务
1493,300045.SZ,300045,华力创通,IT设备
1494,300046.SZ,300046,台基股份,半导体
1495,300047.SZ,300047,天源迪科,软件服务
1496,300048.SZ,300048,合康新能,电气设备
1497,300049.SZ,300049,福瑞股份,医疗保健
1498,300050.SZ,300050,世纪鼎利,软件服务
1499,300051.SZ,300051,三五互联,互联网
1500,300052.SZ,300052,中青宝,互联网
1501,300053.SZ,300053,欧比特,半导体
1502,300054.SZ,300054,鼎龙股份,化工原料
1503,300055.SZ,300055,万邦达,环境保护
1504,300056.SZ,300056,中创环保,环境保护
1505,300057.SZ,300057,万顺新材,广告包装
